,BHKW_el,Strombedarf,Waermepumpe_el,Strombezug,PV
2019-01-14 02:00:00,82.28493,-25.639999999999993,-56.64493,0.0,0.0
2019-01-14 03:00:00,81.970724,-26.6,-55.370724,0.0,0.0
2019-01-14 04:00:00,89.972843,-29.84,-60.132843,0.0,0.0
2019-01-14 05:00:00,99.795762,-37.31999999999999,-62.475762,0.0,0.0
2019-01-14 06:00:00,110.83788,-52.369600000000005,-58.468281,0.0,0.0
2019-01-14 07:00:00,124.66296,-66.97160000000001,-57.691362,0.0,0.0
2019-01-14 08:00:00,120.26054,-72.11919999999999,-49.221029,0.0,1.0796842
2019-01-14 09:00:00,87.214693,-70.9124,-20.265939,0.0,3.9636452
2019-01-14 10:00:00,130.55106,-73.4368,-58.47002,0.0,1.3557606
2019-01-14 11:00:00,120.24878,-73.98960000000001,-47.639457,0.0,1.3802798
2019-01-14 12:00:00,95.216029,-71.7092,-26.487963,0.0,2.9811339
2019-01-14 13:00:00,102.13284,-70.38239999999999,-33.762396,0.0,2.0119562
2019-01-14 14:00:00,121.08164,-67.94,-53.478005,0.0,0.33636833
2019-01-14 15:00:00,120.29935,-66.348,-54.119532,0.0,0.16818417
2019-01-14 16:00:00,122.91836,-66.9584,-55.959957,0.0,0.0
2019-01-14 17:00:00,137.59684,-72.604,-64.992843,0.0,0.0
2019-01-14 18:00:00,135.56493,-70.3772,-65.18773,0.0,0.0
2019-01-14 19:00:00,132.17691,-67.73360000000001,-64.443308,0.0,0.0
2019-01-14 20:00:00,123.59598,-60.519600000000004,-63.076378,0.0,0.0
2019-01-14 21:00:00,118.76912,-54.6,-64.169124,0.0,0.0
2019-01-14 22:00:00,112.92086,-50.53880000000001,-62.382065,0.0,0.0
2019-01-14 23:00:00,98.699935,-43.6644,-55.035535,0.0,0.0
2019-01-15 00:00:00,92.373751,-36.68,-55.693751,0.0,0.0
2019-01-15 01:00:00,92.107849,-33.12,-58.987849,0.0,0.0
2019-01-15 02:00:00,93.793038,-31.68,-62.113038,0.0,0.0
2019-01-15 03:00:00,96.917405,-32.599999999999994,-64.317405,0.0,0.0
2019-01-15 04:00:00,101.55299,-34.6,-66.952995,0.0,0.0
2019-01-15 05:00:00,109.51689,-40.5404,-68.976486,0.0,0.0
2019-01-15 06:00:00,118.48895,-54.688,-63.800951,0.0,0.0
2019-01-15 07:00:00,131.76614,-67.19080000000001,-64.575341,0.0,0.0
2019-01-15 08:00:00,136.06389,-72.7468,-63.418,0.0,0.1009105
